feature_mode,dimensions,case_id,group,prompt,expected_id,selected_id,ranked_first_id,correct,ranked_correct,abstained,input_rejected,top_score,expected_score,answer,error
raw_bytes,256,q01,known,Wie heißt die Hauptstadt Frankreichs?,f01,f01,f01,True,True,False,False,0.6772473887093018,0.6772473887093018,Die Hauptstadt Frankreichs ist Paris.,
raw_bytes,256,q02,known,Welche Hauptstadt hat Japan?,f02,f12,f12,False,False,False,False,0.7944607627712885,0.48845529644219565,Spinnen besitzen acht Beine.,
raw_bytes,256,q03,known,Welche Stadt ist Italiens Hauptstadt?,f03,f12,f12,False,False,False,False,0.6391413877366061,0.4652025239312585,Spinnen besitzen acht Beine.,
raw_bytes,256,q04,known,Bei welcher Temperatur gefriert reines Wasser bei Normaldruck?,f04,f25,f25,False,False,False,False,0.6534041036891721,0.6332199571029018,Der elektrische Widerstand wird in Ohm gemessen.,
raw_bytes,256,q05,known,Bei wie viel Grad siedet Wasser unter Normaldruck?,f05,f30,f30,False,False,False,False,0.7029199269888778,0.5901242234378516,Das Kilogramm ist die SI-Einheit der Masse.,
raw_bytes,256,q06,known,Wie lange benötigt die Erde für einen Umlauf um die Sonne?,f06,f29,f29,False,False,False,False,0.5207725012939531,0.5093336842106833,Bei einer Geige regen gestrichene Saiten den schallabstrahlenden Korpus an.,
raw_bytes,256,q07,known,Wie viele Tage dauert ein Umlauf des Mondes relativ zu Sternen?,f07,f07,f07,True,True,False,False,0.6841307309081722,0.6841307309081722,"Ein Umlauf des Mondes relativ zu den Sternen dauert ungefähr 27,3 Tage.",
raw_bytes,256,q08,known,Was geschieht bei der Photosynthese von Pflanzen?,f08,f30,f30,False,False,False,False,0.7324873659781974,0.5220338397087868,Das Kilogramm ist die SI-Einheit der Masse.,
raw_bytes,256,q09,known,Welche Funktion erfüllen Mitochondrien in Zellen?,f09,f25,f25,False,False,False,False,0.5987012427391014,0.29759513260523573,Der elektrische Widerstand wird in Ohm gemessen.,
raw_bytes,256,q10,known,Welche Rolle spielen Bienen für die Bestäubung?,f10,f10,f10,True,True,False,False,0.5987225555350122,0.5987225555350122,Bienen unterstützen die Bestäubung zahlreicher Blütenpflanzen.,
raw_bytes,256,q11,known,Wie viele Arme besitzt ein Oktopus?,f11,f01,f01,False,False,False,False,0.7254464527882307,0.5012382212078773,Die Hauptstadt Frankreichs ist Paris.,
raw_bytes,256,q12,known,Wie viele Beine besitzen Spinnen?,f12,f27,f27,False,False,False,False,0.7281732682387302,0.4999331960981051,Die elektrische Spannung wird in Volt gemessen.,
raw_bytes,256,q13,known,Sind Wale Säugetiere?,f13,f31,f31,False,False,False,False,0.5343728673162494,0.23665462597237003,Der Meter ist die SI-Einheit der Länge.,
raw_bytes,256,q14,known,Leitet Kupfer elektrischen Strom?,f14,f14,f14,True,True,False,False,0.835330220394077,0.835330220394077,Kupfer leitet elektrischen Strom sehr gut.,
raw_bytes,256,q15,known,Warum kann Fensterglas unter Belastung brechen?,f15,f27,f27,False,False,False,False,0.605474238808956,0.41762353528750007,Die elektrische Spannung wird in Volt gemessen.,
raw_bytes,256,q16,known,In welche Anteile zerlegt eine Fourierreihe periodische Funktionen?,f16,f16,f16,True,True,False,False,0.7064440509224676,0.7064440509224676,Eine Fourierreihe zerlegt eine periodische Funktion in Sinus- und Kosinusanteile.,
raw_bytes,256,q17,known,Wie entsteht Interferenz zwischen Wellen?,f17,f27,f27,False,False,False,False,0.6933833000535894,0.3829533882022942,Die elektrische Spannung wird in Volt gemessen.,
raw_bytes,256,q18,known,Wie berechnet man die Wellenlänge aus Frequenz und Geschwindigkeit?,f18,f04,f04,False,False,False,False,0.6481677100835328,0.43157228978305257,Reines Wasser gefriert bei Normaldruck bei null Grad Celsius.,
raw_bytes,256,q19,known,Was berechnet der FFT-Algorithmus?,f19,f31,f31,False,False,False,False,0.7860642688011954,0.4503967408911317,Der Meter ist die SI-Einheit der Länge.,
raw_bytes,256,q20,known,Wie kodiert UTF-8 Unicode-Zeichen?,f20,f01,f01,False,False,False,False,0.6974843101634767,0.5064379712422271,Die Hauptstadt Frankreichs ist Paris.,
