feature_mode,dimensions,case_id,group,prompt,expected_id,selected_id,ranked_first_id,correct,ranked_correct,abstained,input_rejected,top_score,expected_score,answer,error
raw_bytes,256,q01,known,Wie heißt die Hauptstadt Frankreichs?,f01,f01,f01,True,True,False,False,0.677247388709302,0.677247388709302,Die Hauptstadt Frankreichs ist Paris.,
raw_bytes,256,q02,known,Welche Hauptstadt hat Japan?,f02,f12,f12,False,False,False,False,0.7944607627712887,0.4884552964421955,Spinnen besitzen acht Beine.,
raw_bytes,256,q03,known,Welche Stadt ist Italiens Hauptstadt?,f03,f12,f12,False,False,False,False,0.6391413877366053,0.46520252393125855,Spinnen besitzen acht Beine.,
raw_bytes,256,q04,known,Bei welcher Temperatur gefriert reines Wasser bei Normaldruck?,f04,f25,f25,False,False,False,False,0.6534041036891719,0.6332199571029018,Der elektrische Widerstand wird in Ohm gemessen.,
raw_bytes,256,q05,known,Bei wie viel Grad siedet Wasser unter Normaldruck?,f05,f30,f30,False,False,False,False,0.7029199269888773,0.5901242234378509,Das Kilogramm ist die SI-Einheit der Masse.,
raw_bytes,256,q06,known,Wie lange benötigt die Erde für einen Umlauf um die Sonne?,f06,f29,f29,False,False,False,False,0.520772501293953,0.5093336842106839,Bei einer Geige regen gestrichene Saiten den schallabstrahlenden Korpus an.,
raw_bytes,256,q07,known,Wie viele Tage dauert ein Umlauf des Mondes relativ zu Sternen?,f07,f07,f07,True,True,False,False,0.6841307309081719,0.6841307309081719,"Ein Umlauf des Mondes relativ zu den Sternen dauert ungefähr 27,3 Tage.",
raw_bytes,256,q08,known,Was geschieht bei der Photosynthese von Pflanzen?,f08,f30,f30,False,False,False,False,0.7324873659781979,0.5220338397087868,Das Kilogramm ist die SI-Einheit der Masse.,
raw_bytes,256,q09,known,Welche Funktion erfüllen Mitochondrien in Zellen?,f09,f25,f25,False,False,False,False,0.5987012427391015,0.29759513260523585,Der elektrische Widerstand wird in Ohm gemessen.,
raw_bytes,256,q10,known,Welche Rolle spielen Bienen für die Bestäubung?,f10,f10,f10,True,True,False,False,0.5987225555350122,0.5987225555350122,Bienen unterstützen die Bestäubung zahlreicher Blütenpflanzen.,
raw_bytes,256,q11,known,Wie viele Arme besitzt ein Oktopus?,f11,f01,f01,False,False,False,False,0.7254464527882304,0.5012382212078769,Die Hauptstadt Frankreichs ist Paris.,
raw_bytes,256,q12,known,Wie viele Beine besitzen Spinnen?,f12,f27,f27,False,False,False,False,0.7281732682387302,0.49993319609810516,Die elektrische Spannung wird in Volt gemessen.,
raw_bytes,256,q13,known,Sind Wale Säugetiere?,f13,f31,f31,False,False,False,False,0.5343728673162498,0.23665462597237014,Der Meter ist die SI-Einheit der Länge.,
raw_bytes,256,q14,known,Leitet Kupfer elektrischen Strom?,f14,f14,f14,True,True,False,False,0.8353302203940776,0.8353302203940776,Kupfer leitet elektrischen Strom sehr gut.,
raw_bytes,256,q15,known,Warum kann Fensterglas unter Belastung brechen?,f15,f27,f27,False,False,False,False,0.6054742388089562,0.41762353528749985,Die elektrische Spannung wird in Volt gemessen.,
