iteration,id,split,group,prompt,expected_id,predicted_id,correct,abstained,wrong_answer,score,query_ms
03_frozen_coverage,chat-005-known,holdout,known_lexical,Nach einer langen Pause bin ich wieder da.,chat-005,chat-005,True,False,False,0.9999999999999997,1.8898
03_frozen_coverage,chat-006-known,holdout,known_lexical,Lange haben wir uns nicht gesprochen.,chat-006,chat-006,True,False,False,0.9999999999999966,1.6412
03_frozen_coverage,chat-007-known,holdout,known_lexical,Wie geht es dir heute?,chat-007,chat-007,True,False,False,0.8110522892555522,1.456
03_frozen_coverage,chat-008-known,holdout,known_lexical,Darf ich mich kurz vorstellen?,chat-008,chat-008,True,False,False,0.6814665465778246,1.4532
03_frozen_coverage,chat-009-known,holdout,known_lexical,Bist du für ein kurzes Gespräch da?,chat-009,chat-009,True,False,False,0.7547988144117747,1.3341
03_frozen_coverage,chat-010-known,holdout,known_lexical,"Hi, wie läuft es bei dir heute?",chat-010,chat-010,True,False,False,0.9999999999999987,1.2803
03_frozen_coverage,chat-015-known,holdout,known_lexical,Seit heute Morgen fühle ich mich gereizt.,chat-015,chat-015,True,False,False,0.9999999999999974,1.4441
03_frozen_coverage,chat-016-known,holdout,known_lexical,Ich bin gerade mit mir ganz zufrieden.,chat-016,chat-016,True,False,False,0.9999999999999997,1.3569
03_frozen_coverage,chat-017-known,holdout,known_lexical,"Wie ich mich gerade fühle, weiß ich nicht.",chat-017,chat-017,True,False,False,1.0000000000000009,1.4178
03_frozen_coverage,chat-018-known,holdout,known_lexical,Seit dem Aufstehen bin ich unruhig.,chat-018,chat-018,True,False,False,0.9999999999999977,1.2826
03_frozen_coverage,chat-019-known,holdout,known_lexical,Ich fühle mich heute ein bisschen neben der Spur.,chat-019,chat-019,True,False,False,0.9999999999999984,1.5453
03_frozen_coverage,chat-020-known,holdout,known_lexical,Gerade habe ich einen überraschend entspannten Moment.,chat-020,chat-020,True,False,False,0.9999999999999987,1.8004
03_frozen_coverage,chat-025-known,holdout,known_lexical,Heute habe ich zu viele Termine eingeplant.,chat-025,chat-025,True,False,False,0.9999999999999988,1.5969
03_frozen_coverage,chat-026-known,holdout,known_lexical,Heute will ich einfach nichts erledigen müssen.,chat-026,chat-026,True,False,False,1.0000000000000009,1.6248
03_frozen_coverage,chat-027-known,holdout,known_lexical,Morgen möchte ich früher aufstehen.,chat-027,chat-027,True,False,False,0.9999999999999991,1.6144
03_frozen_coverage,chat-028-known,holdout,known_lexical,Auf einen freien Nachmittag freue ich mich.,chat-028,chat-028,True,False,False,0.9999999999999972,1.3374
03_frozen_coverage,chat-029-known,holdout,known_lexical,Später muss ich noch einkaufen gehen.,chat-029,chat-029,True,False,False,1.000000000000001,1.4231
03_frozen_coverage,chat-030-known,holdout,known_lexical,Gern würde ich etwas Neues ausprobieren.,chat-030,chat-030,True,False,False,1.000000000000002,1.5856
03_frozen_coverage,chat-035-known,holdout,known_lexical,Vor meiner Präsentation bin ich ziemlich nervös.,chat-035,chat-035,True,False,False,1.0000000000000007,1.465
03_frozen_coverage,chat-036-known,holdout,known_lexical,Vom Lernen brauche ich dringend eine Pause.,chat-036,chat-036,True,False,False,0.9999999999999974,1.2495
03_frozen_coverage,chat-037-known,holdout,known_lexical,Morgen ist mein erster Arbeitstag.,chat-037,chat-037,True,False,False,1.000000000000002,1.4374
03_frozen_coverage,chat-038-known,holdout,known_lexical,Für meine Arbeit habe ich positives Feedback bekommen.,chat-038,chat-038,True,False,False,0.9999999999999997,1.694
03_frozen_coverage,chat-039-known,holdout,known_lexical,Eine unangenehme Aufgabe schiebe ich vor mir her.,chat-039,chat-039,True,False,False,0.9999999999999994,1.6258
03_frozen_coverage,chat-040-known,holdout,known_lexical,Nach Feierabend habe ich den Kopf noch bei der Arbeit.,chat-040,chat-040,True,False,False,1.000000000000001,1.6054
03_frozen_coverage,chat-045-known,holdout,known_lexical,Gern probiere ich beim Kochen neue Sachen aus.,chat-045,chat-045,True,False,False,1.0000000000000016,1.5562
03_frozen_coverage,chat-046-known,holdout,known_lexical,Lange war ich nicht mehr schwimmen.,chat-046,chat-046,True,False,False,0.9999999999999994,1.3315
03_frozen_coverage,chat-047-known,holdout,known_lexical,Am Wochenende spiele ich gern Brettspiele.,chat-047,chat-047,True,False,False,1.0000000000000002,1.3181
03_frozen_coverage,chat-048-known,holdout,known_lexical,"Wieder habe ich Lust, ein Instrument zu spielen.",chat-048,chat-048,True,False,False,0.999999999999999,1.3605
03_frozen_coverage,chat-049-known,holdout,known_lexical,Kleine Details im Alltag fotografiere ich gern.,chat-049,chat-049,True,False,False,0.999999999999999,1.435
03_frozen_coverage,chat-050-known,holdout,known_lexical,Zeit mit Pflanzen verbringe ich gern.,chat-050,chat-050,True,False,False,0.9999999999999997,1.3671
03_frozen_coverage,chat-055-known,holdout,known_lexical,Mit einer Freundin habe ich mich gestritten.,chat-055,chat-055,True,False,False,1.0000000000000013,1.2644
03_frozen_coverage,chat-056-known,holdout,known_lexical,Ein Familienbesuch steht bei uns an.,chat-056,chat-056,True,False,False,1.0000000000000004,1.2299
03_frozen_coverage,chat-057-known,holdout,known_lexical,Jemandem möchte ich eine kleine Freude machen.,chat-057,chat-057,True,False,False,0.9999999999999992,1.3183
03_frozen_coverage,chat-058-known,holdout,known_lexical,Heute hat ein Freund Geburtstag.,chat-058,chat-058,True,False,False,1.0000000000000013,1.4985
03_frozen_coverage,chat-059-known,holdout,known_lexical,Neu in der Nachbarschaft kenne ich noch niemanden.,chat-059,chat-059,True,False,False,0.9246890015023498,1.6536
03_frozen_coverage,chat-060-known,holdout,known_lexical,Auf ein Wiedersehen mit alten Freunden freue ich mich.,chat-060,chat-060,True,False,False,1.0000000000000004,1.334
03_frozen_coverage,chat-065-known,holdout,known_lexical,Das Licht am frühen Abend mag ich.,chat-065,chat-065,True,False,False,1.0000000000000004,1.4172
03_frozen_coverage,chat-066-known,holdout,known_lexical,Gerade singen Vögel vor meinem Fenster.,chat-066,chat-066,True,False,False,0.9999999999999992,1.4067
03_frozen_coverage,chat-067-known,holdout,known_lexical,Heute ist in meiner Straße ungewöhnlich viel los.,chat-067,chat-067,True,False,False,1.0000000000000007,1.4058
03_frozen_coverage,chat-068-known,holdout,known_lexical,Auf dem Heimweg habe ich einen schönen Baum entdeckt.,chat-068,chat-068,True,False,False,0.9999999999999976,1.3034
03_frozen_coverage,chat-069-known,holdout,known_lexical,Gerade sitze ich gemütlich am Fenster.,chat-069,chat-069,True,False,False,1.0000000000000013,1.2698
03_frozen_coverage,chat-070-known,holdout,known_lexical,Draußen riecht es nach dem Regen besonders frisch.,chat-070,chat-070,True,False,False,1.0000000000000004,1.376
03_frozen_coverage,chat-075-known,holdout,known_lexical,Gut geworden ist mein selbst gebackenes Brot.,chat-075,chat-075,True,False,False,1.000000000000001,1.367
03_frozen_coverage,chat-076-known,holdout,known_lexical,Beim Kochen habe ich das Salz vergessen.,chat-076,chat-076,True,False,False,0.9999999999999998,1.3429
