iteration,id,split,group,prompt,expected_id,predicted_id,correct,abstained,wrong_answer,score,query_ms
01_legacy_development,chat-001-known,development,known_lexical,"Hallo, schön dass ich dich sehe.",chat-001,chat-001,True,False,False,0.710688033739615,8.9359
01_legacy_development,chat-002-known,development,known_lexical,"Guten Morgen, ich bin eben aufgestanden.",chat-002,chat-002,True,False,False,0.8148346001131173,8.3972
01_legacy_development,chat-003-known,development,known_lexical,"Guten Abend, der Tag ist für mich vorbei.",chat-003,chat-003,True,False,False,0.8185277169766777,9.0099
01_legacy_development,chat-004-known,development,known_lexical,"Hey, wollte nur kurz vorbeischauen.",chat-004,chat-004,True,False,False,0.9087358689653803,8.5786
01_legacy_development,chat-011-known,development,known_lexical,Heute geht es mir richtig gut.,chat-011,chat-011,True,False,False,1.0,8.802
01_legacy_development,chat-012-known,development,known_lexical,Gerade bin ich ziemlich müde.,chat-012,chat-012,True,False,False,1.0,8.654
01_legacy_development,chat-013-known,development,known_lexical,Heute ist meine Stimmung etwas gedrückt.,chat-013,chat-013,True,False,False,0.9999999999999998,8.9376
01_legacy_development,chat-014-known,development,known_lexical,Heute bin ich voller Energie.,chat-014,chat-014,True,False,False,1.0,8.4052
01_legacy_development,chat-021-known,development,known_lexical,"Was ich heute machen soll, weiß ich noch nicht.",chat-021,chat-021,True,False,False,1.0,8.5772
01_legacy_development,chat-022-known,development,known_lexical,Heute muss ich endlich meine Wohnung aufräumen.,chat-022,chat-022,True,False,False,1.0,8.8894
01_legacy_development,chat-023-known,development,known_lexical,Nachher möchte ich einen Spaziergang machen.,chat-023,chat-023,True,False,False,1.0000000000000002,8.3018
01_legacy_development,chat-024-known,development,known_lexical,Ich habe für das Wochenende noch keine Pläne.,chat-024,chat-024,True,False,False,1.0,8.6694
01_legacy_development,chat-031-known,development,known_lexical,Gerade ist auf der Arbeit sehr viel los.,chat-031,chat-031,True,False,False,0.9999999999999999,8.6286
01_legacy_development,chat-032-known,development,known_lexical,Mit meiner Aufgabe komme ich einfach nicht weiter.,chat-032,chat-032,True,False,False,1.0,8.9454
01_legacy_development,chat-033-known,development,known_lexical,Heute habe ich endlich eine schwierige Aufgabe geschafft.,chat-033,chat-033,True,False,False,1.0,8.6819
01_legacy_development,chat-034-known,development,known_lexical,Heute kann ich mich kaum konzentrieren.,chat-034,chat-034,True,False,False,1.0,9.0774
01_legacy_development,chat-041-known,development,known_lexical,Gerade lese ich ein richtig spannendes Buch.,chat-041,chat-041,True,False,False,0.9999999999999999,8.5278
